task_id,v4plus_pass,v4_pass,ours_pass,v4plus_status,v4plus_cost,v4plus_score,v4_cost,ours_cost,regression_from_v4,perfect
task389,266/266,266/266,266/266,ok,1898,17.4514,1898,1898,0,1
task390,266/266,266/266,266/266,ok,24721,14.8846,24721,24721,0,1
task391,267/267,267/267,267/267,ok,10021,15.7876,10021,10021,0,1
task392,266/266,266/266,266/266,ok,30870,14.6625,30870,30870,0,1
task393,265/265,265/265,265/265,ok,459,18.8709,459,5873,0,1
task394,266/266,266/266,266/266,ok,4753,16.5335,4753,4753,0,1
task395,268/268,268/268,268/268,ok,1667,17.5812,1667,1667,0,1
task396,266/266,266/266,266/266,ok,168048,12.9680,168048,168048,0,1
task397,266/266,266/266,266/266,ok,21241,15.0363,21241,21241,0,1
task398,268/268,268/268,268/268,ok,84267,13.6583,84267,84267,0,1
task399,273/273,273/273,273/273,ok,1839,17.4830,1839,1839,0,1
task400,266/266,266/266,266/266,ok,35153,14.5325,35153,35153,0,1
