split,index,component,anchor_color,payload_color,anchor_shape,observed_tiles,completed_tiles,input_tile_count,output_tile_count,is_template
arc-gen,88,2,2,1,1x1,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,89,1,1,2,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,89,2,1,4,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,90,1,7,2,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,90,2,7,4,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,90,3,7,6,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,91,1,9,5,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,91,2,9,3,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,91,3,9,7,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,91,4,9,2,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,92,1,2,3,1x1,0:0 0:1 0:2 1:0 1:1,0:0 0:1 0:2 1:0 1:1,5,5,1
arc-gen,92,2,2,9,3x3,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,93,1,3,4,1x1,0:0 0:1,0:0 0:1 1:1 1:2 2:1,2,5,0
arc-gen,93,2,3,8,4x4,0:0 0:1,0:0 0:1 1:1 1:2 2:1,2,5,0
arc-gen,93,3,3,2,1x1,0:0 0:1 1:1 1:2 2:1,0:0 0:1 1:1 1:2 2:1,5,5,1
arc-gen,94,1,1,2,4x4,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,94,2,1,4,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,95,1,9,1,2x2,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,95,2,9,2,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,95,3,9,4,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,95,4,9,5,3x3,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,96,1,8,7,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,96,2,8,5,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,97,1,5,9,1x1,0:0 1:0,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,97,2,5,7,1x1,0:0 0:1 0:2 1:0 2:0,0:0 0:1 0:2 1:0 2:0,5,5,1
arc-gen,97,3,5,2,1x1,0:0 1:0,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,98,1,5,7,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,98,2,5,9,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,98,3,5,1,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,98,4,5,3,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,99,1,3,1,1x1,0:0 0:1 0:2 1:2,0:0 0:1 0:2 1:2,4,4,1
arc-gen,99,2,3,5,1x1,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,100,1,1,7,1x1,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,100,2,1,8,2x2,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,100,3,1,5,1x1,0:0 1:0 1:1 2:0 2:1,0:0 1:0 1:1 2:0 2:1,5,5,1
arc-gen,101,1,3,6,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,101,2,3,9,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,102,1,5,8,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,102,2,5,6,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,103,1,3,5,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,103,2,3,7,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,104,1,3,2,1x1,0:0 0:1 0:2 1:2,0:0 0:1 0:2 1:2,4,4,1
arc-gen,104,2,3,9,1x1,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,105,1,7,9,3x3,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,105,2,7,1,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,106,1,4,1,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,106,2,4,2,2x2,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,106,3,4,9,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,106,4,4,6,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,107,1,2,9,2x2,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,107,2,2,3,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,107,3,2,1,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,108,1,7,2,1x1,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,108,2,7,5,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,109,1,9,6,1x1,0:0 1:0 1:1 2:0 2:1,0:0 1:0 1:1 2:0 2:1,5,5,1
arc-gen,109,2,9,3,2x2,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,109,3,9,2,2x2,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,110,1,9,6,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,110,2,9,2,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,110,3,9,1,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,110,4,9,5,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,111,1,8,9,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
arc-gen,111,2,8,6,2x2,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,112,1,5,2,3x3,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,112,2,5,6,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,112,3,5,9,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,112,4,5,8,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,113,1,2,9,2x2,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,113,2,2,6,2x2,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,113,3,2,5,2x2,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,113,4,2,1,1x1,0:0 1:0 2:0 2:1,0:0 1:0 2:0 2:1,4,4,1
arc-gen,114,1,9,1,3x3,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,114,2,9,5,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,114,3,9,6,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,114,4,9,2,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,115,1,7,1,4x4,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,115,2,7,2,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,115,3,7,8,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,115,4,7,3,2x2,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,116,1,9,7,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,116,2,9,1,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,116,3,9,2,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,117,1,2,9,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,117,2,2,5,1x1,0:0 1:0 2:0 2:1,0:0 1:0 2:0 2:1,4,4,1
arc-gen,117,3,2,7,2x2,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,117,4,2,3,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,118,1,9,6,1x1,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,118,2,9,5,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,118,3,9,7,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,118,4,9,4,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,119,1,3,8,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,119,2,3,5,2x2,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,119,3,3,9,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,120,1,8,7,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,120,2,8,6,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,120,3,8,9,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,121,1,7,2,1x1,0:0 0:1,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,121,2,7,6,1x1,0:0 0:1 0:2 1:0 2:0,0:0 0:1 0:2 1:0 2:0,5,5,1
arc-gen,122,1,1,5,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,122,2,1,6,4x4,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,123,1,4,9,2x2,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,123,2,4,1,1x1,0:0 1:0 1:1 2:0,0:0 1:0 1:1 2:0,4,4,1
arc-gen,123,3,4,8,1x1,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,124,1,1,9,2x2,0:0 0:1,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,124,2,1,8,1x1,0:0 0:1,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,124,3,1,7,1x1,0:0 0:1 0:2 1:0 2:0,0:0 0:1 0:2 1:0 2:0,5,5,1
arc-gen,124,4,1,3,1x1,0:0 1:0,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,125,1,4,3,3x3,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,125,2,4,2,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,125,3,4,5,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,126,1,1,6,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,126,2,1,3,2x2,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,126,3,1,7,2x2,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,126,4,1,9,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,127,1,3,5,3x3,0:0 0:1,0:0 0:1 0:2 1:1 2:1,2,5,0
arc-gen,127,2,3,6,1x1,0:0 0:1 0:2 1:1 2:1,0:0 0:1 0:2 1:1 2:1,5,5,1
arc-gen,127,3,3,2,2x2,0:0 0:1,0:0 0:1 0:2 1:1 2:1,2,5,0
arc-gen,128,1,2,1,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,128,2,2,6,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,129,1,9,6,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,129,2,9,3,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,129,3,9,7,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,129,4,9,2,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,130,1,8,4,2x2,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,130,2,8,9,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,131,1,6,2,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,131,2,6,9,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,131,3,6,3,2x2,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,131,4,6,1,1x1,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,132,1,6,5,4x4,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,132,2,6,2,1x1,0:0 0:1 1:0 2:0 2:1,0:0 0:1 1:0 2:0 2:1,5,5,1
arc-gen,132,3,6,8,1x1,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,132,4,6,1,2x2,0:0 1:0,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,133,1,2,7,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,133,2,2,3,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,133,3,2,6,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,133,4,2,1,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,134,1,6,1,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,134,2,6,3,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,134,3,6,9,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,135,1,4,3,4x4,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,135,2,4,9,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,135,3,4,1,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,136,1,6,8,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,136,2,6,9,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,136,3,6,7,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,136,4,6,4,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,137,1,1,3,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,137,2,1,5,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,137,3,1,6,2x2,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,137,4,1,9,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,138,1,4,5,2x2,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,138,2,4,7,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,138,3,4,1,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,138,4,4,6,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,139,1,3,6,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,139,2,3,9,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,139,3,3,1,2x2,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,140,1,8,3,1x1,0:0 1:0 1:1 1:2 2:0,0:0 1:0 1:1 1:2 2:0,5,5,1
arc-gen,140,2,8,9,3x3,0:0 1:0,0:0 1:0 1:1 1:2 2:0,2,5,0
arc-gen,140,3,8,7,2x2,0:0 1:0,0:0 1:0 1:1 1:2 2:0,2,5,0
arc-gen,141,1,3,4,3x3,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,141,2,3,1,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,142,1,1,5,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,142,2,1,6,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,142,3,1,2,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,142,4,1,9,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,143,1,3,9,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,143,2,3,6,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,144,1,9,1,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,144,2,9,6,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,144,3,9,5,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,145,1,1,5,1x1,0:0 1:0 1:1 1:2 2:0,0:0 1:0 1:1 1:2 2:0,5,5,1
arc-gen,145,2,1,6,3x3,0:0 1:0,0:0 1:0 1:1 1:2 2:0,2,5,0
arc-gen,145,3,1,8,1x1,0:0 1:0,0:0 1:0 1:1 1:2 2:0,2,5,0
arc-gen,146,1,3,8,3x3,0:0 1:0,0:0 1:0 1:1 1:2 2:0,2,5,0
arc-gen,146,2,3,1,1x1,0:0 1:0 1:1 1:2 2:0,0:0 1:0 1:1 1:2 2:0,5,5,1
arc-gen,147,1,6,5,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,147,2,6,1,3x3,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,147,3,6,2,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,147,4,6,4,2x2,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,148,1,1,4,2x2,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,148,2,1,5,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,148,3,1,7,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,148,4,1,2,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,149,1,4,1,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,149,2,4,6,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,150,1,9,8,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,150,2,9,5,1x1,0:0 1:0 2:0 2:1,0:0 1:0 2:0 2:1,4,4,1
arc-gen,150,3,9,6,2x2,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,151,1,7,6,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,151,2,7,2,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,152,1,3,1,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,152,2,3,9,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,152,3,3,4,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,152,4,3,8,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,153,1,2,7,1x1,0:0 1:0 2:0 2:1,0:0 1:0 2:0 2:1,4,4,1
arc-gen,153,2,2,5,3x3,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,153,3,2,4,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,153,4,2,8,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,154,1,8,7,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,154,2,8,9,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,154,3,8,6,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,155,1,9,5,4x4,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,155,2,9,2,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,156,1,5,1,1x1,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,156,2,5,8,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
arc-gen,157,1,4,3,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,157,2,4,6,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,157,3,4,8,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,158,1,3,4,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,158,2,3,9,1x1,0:0 0:1 0:2 1:0 1:1,0:0 0:1 0:2 1:0 1:1,5,5,1
arc-gen,158,3,3,7,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,158,4,3,5,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,159,1,6,4,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,159,2,6,5,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,160,1,5,9,2x2,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,160,2,5,7,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,160,3,5,6,3x3,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,161,1,8,9,3x3,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,161,2,8,4,1x1,0:0 1:0 1:1 2:0,0:0 1:0 1:1 2:0,4,4,1
arc-gen,162,1,1,9,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,162,2,1,7,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,163,1,4,9,1x1,0:0 1:0 1:1 2:0 2:1,0:0 1:0 1:1 2:0 2:1,5,5,1
arc-gen,163,2,4,5,1x1,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,163,3,4,8,1x1,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,164,1,5,9,1x1,0:0 0:1,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,164,2,5,1,1x1,0:0 0:1 0:2 1:0 2:0,0:0 0:1 0:2 1:0 2:0,5,5,1
arc-gen,165,1,7,2,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,165,2,7,1,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,165,3,7,4,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,165,4,7,5,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,166,1,7,5,1x1,0:0 0:1 1:1 2:1,0:0 0:1 1:1 2:1,4,4,1
arc-gen,166,2,7,4,3x3,0:0 0:1,0:0 0:1 1:1 2:1,2,4,0
arc-gen,167,1,7,2,2x2,0:0 1:0,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,167,2,7,5,1x1,0:0 1:0,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,167,3,7,6,1x1,0:0 0:1 1:0 2:0 2:1,0:0 0:1 1:0 2:0 2:1,5,5,1
arc-gen,168,1,9,3,1x1,0:0 0:1 0:2 1:2,0:0 0:1 0:2 1:2,4,4,1
arc-gen,168,2,9,6,2x2,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,168,3,9,8,1x1,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,168,4,9,4,1x1,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,169,1,8,6,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,169,2,8,3,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,169,3,8,5,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,170,1,1,3,2x2,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,170,2,1,5,3x3,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,170,3,1,8,1x1,0:0 0:1 1:0 2:0 2:1,0:0 0:1 1:0 2:0 2:1,5,5,1
arc-gen,170,4,1,4,1x1,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,171,1,6,5,2x2,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,171,2,6,1,1x1,0:0 1:0 1:1 2:0 2:1,0:0 1:0 1:1 2:0 2:1,5,5,1
arc-gen,172,1,5,3,2x2,0:0 1:0,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,172,2,5,7,1x1,0:0 0:1 1:0 1:1 2:0,0:0 0:1 1:0 1:1 2:0,5,5,1
arc-gen,172,3,5,4,3x3,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,172,4,5,1,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,173,1,9,8,2x2,0:0 1:0,0:0 0:1 0:2 1:0,2,4,0
arc-gen,173,2,9,2,1x1,0:0 1:0,0:0 0:1 0:2 1:0,2,4,0
arc-gen,173,3,9,7,2x2,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,173,4,9,4,1x1,0:0 0:1 0:2 1:0,0:0 0:1 0:2 1:0,4,4,1
arc-gen,174,1,9,3,2x2,0:0 0:1,0:0 0:1 1:1 1:2,2,4,0
arc-gen,174,2,9,7,1x1,0:0 0:1,0:0 0:1 1:1 1:2,2,4,0
arc-gen,174,3,9,6,2x2,0:0 0:1,0:0 0:1 1:1 1:2,2,4,0
arc-gen,174,4,9,5,1x1,0:0 0:1 1:1 1:2,0:0 0:1 1:1 1:2,4,4,1
arc-gen,175,1,8,4,1x1,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,175,2,8,6,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,175,3,8,2,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,176,1,9,5,2x2,0:0 0:1,0:0 0:1 0:2 1:1 1:2,2,5,0
arc-gen,176,2,9,4,1x1,0:0 0:1 0:2 1:1 1:2,0:0 0:1 0:2 1:1 1:2,5,5,1
arc-gen,177,1,7,6,3x3,0:0 0:1,0:0 0:1 0:2 1:1 2:1,2,5,0
arc-gen,177,2,7,4,1x1,0:0 0:1 0:2 1:1 2:1,0:0 0:1 0:2 1:1 2:1,5,5,1
arc-gen,178,1,4,8,1x1,0:0 0:1 0:2 1:0,0:0 0:1 0:2 1:0,4,4,1
arc-gen,178,2,4,6,2x2,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,178,3,4,7,1x1,0:0 1:0,0:0 0:1 0:2 1:0,2,4,0
arc-gen,178,4,4,2,1x1,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,179,1,3,2,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,179,2,3,9,2x2,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,180,1,8,9,1x1,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,180,2,8,2,4x4,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,180,3,8,6,1x1,0:0 1:0 1:1 2:0,0:0 1:0 1:1 2:0,4,4,1
arc-gen,180,4,8,3,1x1,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,181,1,7,5,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
