task_id,anchor_score,anchor_cost,anchor_memory,anchor_params,anchor_nodes,anchor_file_size,local_pass,local_total,source_label,source_risk,source_matches,known_match_summary,best_seen_score,best_seen_cost,best_seen_attempt,attempt_count,family_primary,family_tags,family_features,shape_profile,public_tail_tags,pseudo_hidden_status,pseudo_hidden_summary,known_prototypes,known_builders,known_reports,next_allowed_action,priority_score
task098,18.186555,910,0,910,1,3836,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",18.186555,910,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 8-18x7-16 -> out 8-18x7-16; pal 8->8,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task099,16.500971,4910,0,4910,1,19839,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",16.500971,4910,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 6->6,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task100,16.214919,6536,6493,43,28,4954,3,3,nadeem_6252,public-anchor-candidate,biohack44_super;candidate_v2;nadeem_6252;octaviograu_6154,"nadeem_6252,octaviograu_6154,biohack44_super",16.214919,6536,biohack44_super_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,reduce",in 10-10x10-10 -> out 2-2x2-2; pal 6->3,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task101,12.166837,374431,374325,106,125,19538,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",13.904425,65879,blend_v360_score,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 14-14x12-12 -> out 14-14x12-12; pal 3->3,cost_monster_top30;low_score_bottom30,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,"Open semantic-factory pass: inspect examples, write prototype, then stress-test.",52
task102,15.557993,12607,12075,532,48,6500,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_super;candidate_v2;candidate_v4;nadeem_6252;octaviograu_6154,"nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super",15.557993,12607,biohack44_super_score_n3,76,other,other,"train=4;test=1;shape_preserving,color_superset",in 12-12x12-12 -> out 12-12x12-12; pal 2->3,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task103,19.758253,189,155,34,11,1281,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v4,nadeem_6252,19.758253,189,candidate_nadeem6252_plus_ours_v3_score_n3,76,scalar_output,scalar_output;trim_border;reduce,"train=6;test=2;trim_border,out_smaller,color_disjoint,scalar_output,reduce",in 3-3x3-3 -> out 1-1x1-1; pal 2->2,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task104,16.788789,3682,2692,990,21,3505,3,3,nadeem_6252,public-anchor-candidate,candidate_v2;nadeem_6252,nadeem_6252,16.788789,3682,candidate_nadeem6252_plus_ours_38_score_n3,76,tiling,tiling,"train=2;test=1;tile,out_larger,color_subset",in 3-3x3-3 -> out 9-9x9-9; pal 3->2,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task105,16.138508,7055,6987,68,63,8053,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",16.138508,7055,candidate_nadeem6252_plus_ours_38_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 9-13x13-13 -> out 9-13x13-13; pal 2->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task106,17.940382,1164,1039,125,13,2939,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;konbu17_v36;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",17.940382,1164,afr1ste_5689_score_n3,76,tiling,tiling,"train=3;test=1;tile,out_larger,color_subset,color_superset,color_same",in 2-3x2-3 -> out 4-6x4-6; pal 5->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task107,13.806578,72651,58970,13681,52,31694,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;current_best_6122,"current_best_6122,candidate_v4",13.806578,72651,candidate_bio_t200_t084_score_n3,76,tiling,tiling,"train=3;test=1;tile,out_larger,color_superset",in 5-5x5-5 -> out 10-20x10-20; pal 8->9,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,6
task108,17.504458,1800,0,1800,1,7454,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;konbu17_v36;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",17.504458,1800,afr1ste_5689_score_n3,76,tiling,tiling,"train=3;test=1;tile,out_larger,color_subset,color_superset,color_same",in 10-10x10-10 -> out 20-20x20-20; pal 6->6,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task109,13.542355,94622,93668,954,39,5118,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"current_best_6122,candidate_v4",13.542355,94622,candidate_v4_plus10_compiler2_score_n3,76,trim_border,trim_border;reduce,"train=3;test=1;trim_border,out_smaller,color_subset,reduce",in 7-11x7-11 -> out 6-10x6-10; pal 6->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,7
task110,13.411438,107857,107511,346,162,20445,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"nadeem_6252,octaviograu_6154,biohack44_super",13.411438,107857,candidate_v4_plus10_compiler2_score_n3,76,color_remap,color_remap,"train=3;test=1;shape_preserving,color_subset,color_remap",in 29-29x29-29 -> out 29-29x29-29; pal 9->8,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,8
task111,18.319145,797,772,25,15,1499,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",18.319145,797,afr1ste_5689_score_n3,76,crop,crop,"train=3;test=1;crop,out_smaller,color_subset",in 10-10x10-10 -> out 3-3x3-3; pal 5->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task112,14.010141,59270,59164,106,44,3987,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_super;candidate_v2;candidate_v4;current_best_6122;nadeem_6252;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super",14.010141,59270,biohack44_super_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-20x10-30 -> out 10-20x10-30; pal 3->3,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,16
task113,21.598803,30,0,30,1,499,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;konbu17_v36;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",21.598803,30,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=2;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x3-5 -> out 10-10x3-5; pal 4->4,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task114,17.869101,1250,1091,159,26,4699,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",17.869101,1250,candidate_v4_plus10_compiler2_score_n3,76,expand,expand,"train=3;test=1;out_larger,color_superset,expand",in 2-3x2-3 -> out 4-5x4-5; pal 6->6,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task115,16.676634,4119,4042,77,34,5064,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",16.676634,4119,candidate_v4_plus10_compiler2_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,color_superset,color_same,reduce",in 9-14x7-16 -> out 1-4x1-3; pal 6->6,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task116,21.598803,30,0,30,1,479,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;konbu17_v36;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",21.598803,30,afr1ste_5689_score_n3,76,tiling,tiling,"train=4;test=1;tile,out_larger,color_subset,color_superset,color_same",in 3-3x4-4 -> out 6-6x4-4; pal 5->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task117,15.219584,17684,17527,157,74,10250,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"current_best_6122,candidate_v4",15.219584,17684,candidate_v4_plus10_compiler2_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 12-14x12-14 -> out 12-14x12-14; pal 6->6,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,1
task118,13.336553,116244,116104,140,64,6545,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v4,nadeem_6252,13.979847,61093,blend_v360_score,76,other,other,"train=4;test=1;shape_preserving,color_superset",in 11-20x12-22 -> out 11-20x12-22; pal 3->4,public_overfit_risk;cost_monster_top30;low_score_bottom30,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,"Open semantic-factory pass: inspect examples, write prototype, then stress-test.",63
task119,15.280435,16640,16539,101,140,8400,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",15.280435,16640,candidate_nadeem6252_plus_ours_38_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 12-12x12-12 -> out 12-12x12-12; pal 3->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,1
task120,18.186555,910,0,910,1,3836,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",18.186555,910,afr1ste_5689_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 12-13x11-15 -> out 12-13x11-15; pal 4->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task121,16.215838,6530,6484,46,24,3339,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",16.215838,6530,afr1ste_5689_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,reduce",in 13-13x13-13 -> out 3-3x3-3; pal 7->4,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task122,17.171962,2510,0,2510,1,10236,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",17.171962,2510,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 7-13x7-13 -> out 7-13x7-13; pal 3->3,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task123,16.680283,4104,3155,949,17,8805,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111,"current_best_6122,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",16.680283,4104,afr1ste_5689_score_n3,76,tiling,tiling,"train=3;test=1;tile,out_larger,color_subset",in 5-5x5-5 -> out 10-10x10-10; pal 6->5,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task124,15.705962,10873,10520,353,52,5397,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;current_best_6122,"current_best_6122,candidate_v4",15.705962,10873,candidate_bio_t200_t084_score_n3,76,expand,expand,"train=3;test=2;out_larger,color_subset,color_superset,color_same,expand",in 5-8x10-10 -> out 10-10x10-10; pal 4->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task125,15.495722,13417,13170,247,28,3032,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",15.495722,13417,afr1ste_5689_score_n3,76,other,other,"train=2;test=1;shape_preserving,color_superset",in 15-15x15-15 -> out 15-15x15-15; pal 2->4,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,11
task126,13.636840,86091,86044,47,29,2765,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.636840,86091,afr1ste_5689_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 5-8x5-8 -> out 5-8x5-8; pal 4->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,17
task127,18.197605,900,0,900,1,3772,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;konbu17_v36;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",18.197605,900,afr1ste_5689_score_n3,76,color_fill,color_fill,"train=4;test=1;shape_preserving,color_fill",in 3-7x11-11 -> out 3-7x11-11; pal 6->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task128,13.538115,95024,94940,84,28,3217,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.538115,95024,candidate_v4_plus10_compiler2_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 15-15x15-15 -> out 15-15x15-15; pal 4->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,7
task129,18.293138,818,788,30,8,1048,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;current_best_6122,"current_best_6122,candidate_v4",18.306676,807,afr1ste_5689_score_n3,76,covered_or_unclassified,covered_or_unclassified,covered_by_existing_dsl_or_missing_feature_report,in 3-3x3-3 -> out 3-3x3-3; pal 6->1,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task130,15.322911,15948,15840,108,10,1293,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",15.322911,15948,afr1ste_5689_score_n3,76,reduce,reduce,"train=2;test=1;out_smaller,color_subset,reduce",in 9-9x9-9 -> out 3-3x3-3; pal 8->7,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,11
task131,14.295633,44550,43599,951,103,7860,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",14.295633,44550,afr1ste_5689_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 4-17x5-16 -> out 4-17x5-16; pal 3->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,5
task132,14.709279,29458,29394,64,38,2585,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",14.709279,29458,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=4;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 6-10x8-11 -> out 6-10x8-11; pal 6->6,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,3
task133,12.810667,196680,196254,426,121,9860,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v4,nadeem_6252,12.824784,193923,blend_v360_score,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=4;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 15-17x12-18 -> out 15-17x12-18; pal 7->7,public_bottom15;public_big_gap;cost_monster_top30;low_score_bottom30,stress_mixed,passed=4062 failed=1293 skipped=252 total=5607 reports=4 counted=2,prototype_task133_v2.py,,task133_semantic_v2.md;task133_v2_anchor_pseudo_hidden.csv;task133_v2_anchor_pseudo_hidden_summary.json;task133_v2_components.csv;task133_v2_eval.csv;task133_v2_leave_one_out.csv;task133_v2_pseudo_hidden.csv;task133_v2_pseudo_hidden_summary.json;task133_v2_stats.json;task133_v2_summary.csv,Revise semantic prototype; do not stage until pseudo-hidden is clean.,135
task134,15.576162,12380,12300,80,75,7045,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"nadeem_6252,candidate_v4,afr1ste_5689",15.576162,12380,candidate_v4_plus10_compiler2_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,reduce",in 20-24x23-24 -> out 3-3x3-3; pal 7->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task135,19.113896,360,360,0,2,251,3,3,nadeem_6252,public-anchor-candidate,candidate_v2;nadeem_6252,nadeem_6252,19.113896,360,candidate_nadeem6252_plus_ours_38_score_n3,76,crop,crop,"train=4;test=1;crop,out_smaller,color_subset",in 9-9x9-9 -> out 3-3x3-3; pal 10->9,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task136,16.515950,4837,4700,137,25,2845,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",16.515950,4837,candidate_nadeem6252_plus_ours_38_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 3->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task137,14.031216,58034,57068,966,36,3852,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;current_best_6122,"current_best_6122,candidate_v4",14.031216,58034,candidate_bio_t200_t084_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 23-23x23-23 -> out 23-23x23-23; pal 4->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,6
task138,14.418504,39399,39274,125,93,5486,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,nadeem_6252,14.418504,39399,candidate_v4_plus10_compiler2_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,color_superset,color_same,reduce",in 12-22x12-22 -> out 6-15x8-12; pal 7->7,v4_plus10_changed,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,4
task139,16.803012,3630,3456,174,33,3865,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",16.803012,3630,afr1ste_5689_score_n3,76,other,other,"train=2;test=1;shape_preserving,color_superset",in 9-9x9-9 -> out 9-9x9-9; pal 2->3,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
