split,index,rect_id,r0,r1,c0,c1,axis,area,core_cells_in_rect
arc-gen,241,0,16,22,0,29,h,210,210
arc-gen,241,1,0,22,22,22,v,23,23
arc-gen,242,0,8,12,0,29,h,150,150
arc-gen,242,1,6,29,6,6,v,24,24
arc-gen,242,2,0,12,16,16,v,13,13
arc-gen,243,0,15,18,5,29,h,100,100
arc-gen,243,1,15,29,12,13,v,30,30
arc-gen,243,2,15,29,20,21,v,30,30
arc-gen,243,3,0,18,23,23,v,19,19
arc-gen,244,0,9,10,6,29,h,48,48
arc-gen,244,1,16,16,0,12,h,13,13
arc-gen,244,2,20,21,6,29,h,48,48
arc-gen,244,3,0,29,6,12,v,210,210
arc-gen,245,0,11,18,0,29,h,240,240
arc-gen,245,1,0,18,7,7,v,19,19
arc-gen,245,2,11,29,9,9,v,19,19
arc-gen,245,3,11,29,15,16,v,38,38
arc-gen,245,4,0,20,23,23,v,21,21
arc-gen,246,0,10,18,10,14,h,45,45
arc-gen,246,1,20,21,10,29,h,40,40
arc-gen,246,2,0,29,10,14,v,150,150
arc-gen,247,0,0,29,11,17,v,210,210
arc-gen,248,0,12,21,0,29,h,300,300
arc-gen,248,1,12,29,8,9,v,36,36
arc-gen,248,2,12,29,14,15,v,36,36
arc-gen,249,0,10,10,8,29,h,22,22
arc-gen,249,1,15,15,0,13,h,14,14
arc-gen,249,2,22,22,0,13,h,14,14
arc-gen,249,3,0,29,8,13,v,180,180
arc-gen,250,0,14,18,0,29,h,150,150
arc-gen,250,1,0,18,6,6,v,19,19
arc-gen,250,2,0,18,22,22,v,19,19
arc-gen,251,0,12,20,0,29,h,270,270
arc-gen,251,1,12,29,6,6,v,18,18
arc-gen,251,2,12,29,15,15,v,18,18
arc-gen,252,0,21,21,9,29,h,21,21
arc-gen,252,1,0,29,9,16,v,240,240
arc-gen,253,0,0,29,7,12,v,180,180
arc-gen,254,0,0,29,8,16,v,270,270
arc-gen,255,0,0,24,10,17,v,200,200
arc-gen,256,0,8,9,6,29,h,48,48
arc-gen,256,1,0,29,6,11,v,180,180
arc-gen,257,0,8,8,6,29,h,24,24
arc-gen,257,1,21,21,6,29,h,24,24
arc-gen,257,2,0,29,6,10,v,150,150
arc-gen,258,0,19,22,5,29,h,100,100
arc-gen,258,1,0,22,11,11,v,23,23
arc-gen,259,0,7,8,11,29,h,38,38
arc-gen,259,1,0,29,11,16,v,180,180
arc-gen,260,0,7,15,0,29,h,270,270
arc-gen,260,1,7,29,7,7,v,23,23
arc-gen,260,2,7,29,21,21,v,23,23
