task_id,v4p3_train_pass,v4p3_test_pass,v4p3_argen_pass,v4p3_total_pass_ratio,v4p3_status,v4p3_cost,v4p3_score,v4plus_total_pass_ratio,v4plus_status,v4plus_cost,v4plus_score,risk_label,perfect
task277,3/3,1/1,262/262,266/266,ok,14617,15.4101,266/266,ok,14617,15.4101,ok,1
task278,2/2,1/1,262/262,265/265,ok,34383,14.5547,265/265,ok,34383,14.5547,ok,1
task279,4/4,1/1,261/261,266/266,ok,27422,14.7809,266/266,ok,27422,14.7809,ok,1
task280,4/4,1/1,262/262,267/267,ok,90506,13.5868,267/267,ok,90506,13.5868,ok,1
task281,3/3,1/1,262/262,266/266,ok,89575,13.5972,266/266,ok,89575,13.5972,ok,1
task282,2/2,1/1,262/262,265/265,ok,900,18.1976,265/265,ok,900,18.1976,ok,1
task283,2/2,1/1,262/262,265/265,ok,910,18.1866,265/265,ok,910,18.1866,ok,1
task284,3/3,1/1,262/262,266/266,ok,102032,13.4670,266/266,ok,102032,13.4670,ok,1
task285,3/3,1/1,261/261,265/265,ok,402660,12.0942,265/265,ok,402660,12.0942,ok,1
task286,2/2,1/1,262/262,265/265,ok,160931,13.0113,265/265,ok,160931,13.0113,ok,1
task287,4/4,1/1,262/262,267/267,ok,22566,14.9758,267/267,ok,22566,14.9758,ok,1
task288,4/4,1/1,262/262,267/267,ok,31807,14.6326,267/267,ok,31807,14.6326,ok,1
task289,5/5,1/1,262/262,268/268,ok,25332,14.8602,268/268,ok,25332,14.8602,ok,1
task290,3/3,1/1,262/262,266/266,ok,11708,15.6320,266/266,ok,11708,15.6320,ok,1
task291,3/3,1/1,261/261,265/265,ok,4327,16.6274,265/265,ok,4327,16.6274,ok,1
task292,5/5,1/1,22/22,28/28,ok,6345,16.2446,28/28,ok,6345,16.2446,ok,1
task293,4/4,1/1,262/262,267/267,ok,25277,14.8623,267/267,ok,25277,14.8623,ok,1
task294,2/2,1/1,262/262,265/265,ok,910,18.1866,265/265,ok,910,18.1866,ok,1
task295,5/5,1/1,262/262,268/268,ok,12226,15.5887,268/268,ok,12226,15.5887,ok,1
task296,5/5,1/1,262/262,268/268,ok,4115,16.6776,268/268,ok,4115,16.6776,ok,1
task297,3/3,1/1,261/261,265/265,ok,9508,15.8401,265/265,ok,9508,15.8401,ok,1
task298,3/3,2/2,262/262,267/267,ok,14912,15.3901,267/267,ok,14912,15.3901,ok,1
task299,2/2,1/1,18/18,21/21,ok,1790,17.5100,21/21,ok,1790,17.5100,ok,1
task300,4/4,1/1,262/262,267/267,ok,77575,13.7410,267/267,ok,77575,13.7410,ok,1
task301,3/3,1/1,262/262,266/266,ok,64988,13.9180,266/266,ok,75607,13.7667,ok,1
task302,3/3,1/1,262/262,266/266,ok,7796,16.0386,266/266,ok,7796,16.0386,ok,1
task303,3/3,1/1,261/261,265/265,ok,80710,13.7014,265/265,ok,80710,13.7014,ok,1
task304,3/3,1/1,262/262,266/266,ok,14574,15.4130,266/266,ok,14574,15.4130,ok,1
task305,3/3,1/1,262/262,266/266,ok,3952,16.7180,266/266,ok,3952,16.7180,ok,1
task306,2/2,1/1,262/262,265/265,ok,64444,13.9264,265/265,ok,64444,13.9264,ok,1
task307,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task308,3/3,1/1,262/262,266/266,ok,21799,15.0104,266/266,ok,21799,15.0104,ok,1
task309,3/3,1/1,261/261,265/265,ok,10,22.6974,265/265,ok,10,22.6974,ok,1
task310,3/3,1/1,262/262,266/266,ok,25739,14.8442,266/266,ok,25739,14.8442,ok,1
task311,3/3,1/1,262/262,266/266,ok,30,21.5988,266/266,ok,30,21.5988,ok,1
task312,2/2,1/1,262/262,265/265,ok,9979,15.7918,265/265,ok,9979,15.7918,ok,1
task313,3/3,1/1,262/262,266/266,ok,76100,13.7602,266/266,ok,76100,13.7602,ok,1
task314,3/3,1/1,262/262,266/266,ok,8594,15.9412,266/266,ok,8594,15.9412,ok,1
task315,3/3,1/1,262/262,266/266,ok,9557,15.8350,266/266,ok,9557,15.8350,ok,1
task316,3/3,1/1,262/262,266/266,ok,3903,16.7305,266/266,ok,3903,16.7305,ok,1
task317,2/2,1/1,262/262,265/265,ok,900,18.1976,265/265,ok,900,18.1976,ok,1
task318,4/4,1/1,262/262,267/267,ok,754,18.3746,267/267,ok,754,18.3746,ok,1
task319,4/4,1/1,262/262,267/267,ok,33508,14.5805,267/267,ok,33508,14.5805,ok,1
task320,3/3,1/1,262/262,266/266,ok,5190,16.4455,266/266,ok,5190,16.4455,ok,1
task321,5/5,1/1,261/261,267/267,ok,5511,16.3855,267/267,ok,5511,16.3855,ok,1
task322,3/3,1/1,262/262,266/266,ok,865,18.2373,266/266,ok,865,18.2373,ok,1
task323,2/2,1/1,169/169,172/172,ok,4533,16.5809,172/172,ok,4533,16.5809,ok,1
task324,3/3,1/1,262/262,266/266,ok,48870,14.2031,266/266,ok,48870,14.2031,ok,1
task325,3/3,1/1,262/262,266/266,ok,43022,14.3305,266/266,ok,43022,14.3305,ok,1
task326,3/3,1/1,262/262,266/266,ok,166,19.8880,266/266,ok,166,19.8880,ok,1
task327,3/3,1/1,261/261,265/265,ok,7548,16.0710,265/265,ok,7548,16.0710,ok,1
task328,4/4,1/1,262/262,267/267,ok,67238,13.8840,267/267,ok,67238,13.8840,ok,1
task329,3/3,1/1,262/262,266/266,ok,10260,15.7640,266/266,ok,10260,15.7640,ok,1
task330,3/3,1/1,262/262,266/266,ok,59024,14.0143,266/266,ok,59024,14.0143,ok,1
task331,2/2,1/1,262/262,265/265,ok,910,18.1866,265/265,ok,910,18.1866,ok,1
task332,4/4,1/1,262/262,267/267,ok,8500,15.9522,267/267,ok,8500,15.9522,ok,1
task333,3/3,1/1,261/261,265/265,ok,24893,14.8777,265/265,ok,24893,14.8777,ok,1
task334,7/7,2/2,262/262,271/271,ok,609,18.5882,271/271,ok,609,18.5882,ok,1
task335,3/3,1/1,262/262,266/266,ok,49362,14.1931,266/266,ok,49362,14.1931,ok,1
task336,2/2,1/1,28/28,31/31,ok,6036,16.2945,31/31,ok,6036,16.2945,ok,1
task337,3/3,1/1,262/262,266/266,ok,10,22.6974,266/266,ok,10,22.6974,ok,1
task338,3/3,2/2,262/262,267/267,ok,46899,14.2442,267/267,ok,46899,14.2442,ok,1
task339,4/4,1/1,261/261,266/266,ok,884,18.2155,266/266,ok,884,18.2155,ok,1
task340,3/3,1/1,262/262,266/266,ok,67142,13.8854,266/266,ok,67142,13.8854,ok,1
task341,3/3,1/1,262/262,266/266,ok,18865,15.1549,266/266,ok,18865,15.1549,ok,1
task342,3/3,1/1,262/262,266/266,ok,12153,15.5947,266/266,ok,12153,15.5947,ok,1
task343,3/3,1/1,262/262,266/266,ok,28531,14.7413,266/266,ok,28531,14.7413,ok,1
task344,3/3,1/1,262/262,266/266,ok,2510,17.1720,266/266,ok,2510,17.1720,ok,1
task345,2/2,1/1,261/261,264/264,ok,11716,15.6313,264/264,ok,11716,15.6313,ok,1
task346,4/4,1/1,262/262,267/267,ok,9178,15.8754,267/267,ok,9178,15.8754,ok,1
task347,5/5,2/2,262/262,269/269,ok,1631,17.6031,269/269,ok,1631,17.6031,ok,1
task348,2/2,1/1,262/262,265/265,ok,7307,16.1034,265/265,ok,7307,16.1034,ok,1
task349,4/4,1/1,262/262,267/267,ok,49480,14.1907,267/267,ok,146782,13.1033,ok,1
task350,4/4,1/1,262/262,267/267,ok,19831,15.1050,267/267,ok,19831,15.1050,ok,1
task351,3/3,1/1,261/261,265/265,ok,35154,14.5325,265/265,ok,35154,14.5325,ok,1
task352,3/3,1/1,262/262,266/266,ok,6626,16.2012,266/266,ok,6626,16.2012,ok,1
task353,7/7,2/2,262/262,271/271,ok,5411,16.4038,271/271,ok,5411,16.4038,ok,1
task354,3/3,1/1,262/262,266/266,ok,17007,15.2586,266/266,ok,17007,15.2586,ok,1
task355,4/4,1/1,262/262,267/267,ok,11795,15.6246,267/267,ok,11795,15.6246,ok,1
task356,3/3,1/1,262/262,266/266,ok,5002,16.4824,266/266,ok,5002,16.4824,ok,1
task357,3/3,1/1,9/9,13/13,ok,7180,16.1209,13/13,ok,7180,16.1209,ok,1
task358,2/2,1/1,262/262,265/265,ok,112341,13.3707,265/265,ok,112341,13.3707,ok,1
task359,3/3,1/1,262/262,266/266,ok,42313,14.3472,266/266,ok,42313,14.3472,ok,1
task360,3/3,1/1,262/262,266/266,ok,11156,15.6803,266/266,ok,11156,15.6803,ok,1
task361,3/3,1/1,262/262,266/266,ok,16493,15.2893,266/266,ok,16493,15.2893,ok,1
task362,4/4,1/1,262/262,267/267,ok,12038,15.6042,267/267,ok,12038,15.6042,ok,1
task363,3/3,1/1,261/261,265/265,ok,87112,13.6251,265/265,ok,87112,13.6251,ok,1
task364,3/3,1/1,262/262,266/266,ok,76538,13.7545,266/266,ok,76538,13.7545,ok,1
task365,3/3,1/1,262/262,266/266,ok,59004,14.0146,266/266,ok,59004,14.0146,ok,1
task366,3/3,1/1,251/251,255/255,ok,830720,11.3700,255/255,ok,830720,11.3700,ok,1
task367,3/3,1/1,262/262,266/266,ok,143603,13.1252,266/266,ok,143603,13.1252,ok,1
task368,2/2,1/1,262/262,265/265,ok,32339,14.6160,265/265,ok,32339,14.6160,ok,1
task369,3/3,1/1,261/261,265/265,ok,7729,16.0473,265/265,ok,7729,16.0473,ok,1
task370,3/3,1/1,262/262,266/266,ok,107206,13.4175,266/266,ok,107206,13.4175,ok,1
task371,2/2,2/2,262/262,266/266,ok,21181,15.0391,266/266,ok,21181,15.0391,ok,1
task372,3/3,1/1,262/262,266/266,ok,7878,16.0282,266/266,ok,7878,16.0282,ok,1
task373,2/2,1/1,72/72,75/75,ok,524,18.7385,75/75,ok,524,18.7385,ok,1
task374,4/4,1/1,262/262,267/267,ok,15441,15.3552,267/267,ok,15441,15.3552,ok,1
task375,3/3,1/1,54/54,58/58,ok,15172,15.3728,58/58,ok,15172,15.3728,ok,1
task376,2/2,1/1,36/36,39/39,ok,23413,14.9390,39/39,ok,23413,14.9390,ok,1
task377,3/3,1/1,262/262,266/266,ok,64881,13.9197,266/266,ok,64881,13.9197,ok,1
task378,4/4,1/1,262/262,267/267,ok,41000,14.3787,267/267,ok,41000,14.3787,ok,1
task379,3/3,1/1,262/262,266/266,ok,72499,13.8087,266/266,ok,72499,13.8087,ok,1
task380,4/4,1/1,262/262,267/267,ok,737,18.3974,267/267,ok,737,18.3974,ok,1
task381,3/3,1/1,261/261,265/265,ok,3681,16.7891,265/265,ok,3681,16.7891,ok,1
task382,3/3,1/1,262/262,266/266,ok,107354,13.4161,266/266,ok,107354,13.4161,ok,1
task383,3/3,1/1,262/262,266/266,ok,129967,13.2250,266/266,ok,129967,13.2250,ok,1
task384,3/3,1/1,262/262,266/266,ok,74751,13.7781,266/266,ok,74751,13.7781,ok,1
task385,2/2,1/1,262/262,265/265,ok,30,21.5988,265/265,ok,30,21.5988,ok,1
task386,5/5,1/1,262/262,268/268,ok,2207,17.3006,268/268,ok,2207,17.3006,ok,1
task387,4/4,1/1,261/261,266/266,ok,63558,13.9403,266/266,ok,63558,13.9403,ok,1
task388,3/3,1/1,262/262,266/266,ok,6468,16.2254,266/266,ok,6468,16.2254,ok,1
task389,3/3,1/1,262/262,266/266,ok,1898,17.4514,266/266,ok,1898,17.4514,ok,1
task390,3/3,1/1,262/262,266/266,ok,24721,14.8846,266/266,ok,24721,14.8846,ok,1
task391,4/4,1/1,262/262,267/267,ok,10021,15.7876,267/267,ok,10021,15.7876,ok,1
task392,3/3,1/1,262/262,266/266,ok,30870,14.6625,266/266,ok,30870,14.6625,ok,1
task393,3/3,1/1,261/261,265/265,ok,459,18.8709,265/265,ok,459,18.8709,ok,1
task394,3/3,1/1,262/262,266/266,ok,4753,16.5335,266/266,ok,4753,16.5335,ok,1
task395,5/5,1/1,262/262,268/268,ok,1667,17.5812,268/268,ok,1667,17.5812,ok,1
task396,3/3,1/1,262/262,266/266,ok,140688,13.1457,266/266,ok,168048,12.9680,ok,1
task397,3/3,1/1,262/262,266/266,ok,21241,15.0363,266/266,ok,21241,15.0363,ok,1
task398,5/5,1/1,262/262,268/268,ok,84267,13.6583,268/268,ok,84267,13.6583,ok,1
task399,8/8,3/3,262/262,273/273,ok,1839,17.4830,273/273,ok,1839,17.4830,ok,1
task400,3/3,1/1,262/262,266/266,ok,35153,14.5325,266/266,ok,35153,14.5325,ok,1
